parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/الجدول_الدوري_للعناصر,https://www.livescience.com/25300-periodic-table.html,"""Periodic Table of Elements""",external,403
https://weziwezi.com/معلومات_حول_نجم_الدب_القطبي,https://www.universetoday.com/24351/what-is-a-star/,"""What is a Star?""",external,503
https://weziwezi.com/تعريف_التجوية_الكيميائية,https://www.livescience.com/63612-arctic-acid-permafrost.html,"""Melting Arctic Permafrost Releases Acid that Dissolves Rocks""",external,403
https://weziwezi.com/قانون_فاراداي_في_الكهرباء,https://www.livescience.com/53509-faradays-law-induction.html,"""?What Is Faraday’s Law of Induction""",external,403
https://weziwezi.com/تجارب_مندل_في_علم_الوراثة,https://www.livescience.com/7537-monk-peas-changed-world.html,"""Gregor Mendel: A Monk and His Peas""",external,403
https://weziwezi.com/مبدأ_عمل_الطائرة,https://www.livescience.com/7109-planes-fly.html,"""How Do Airplanes Fly?""",external,403
https://weziwezi.com/تجارب_علوم_بسيطة_للأطفال,https://www.livescience.com/29447-science-experiments-for-kids.html,"""Science Experiments for Kids""",external,403
https://weziwezi.com/عدد_المجرات_في_الكون,https://www.universetoday.com/36610/how-many-galaxies-have-we-discovered/,"""How Many Galaxies Have We Discovered?""",external,503
https://weziwezi.com/كيفية_استغلال_الموارد_الطبيعية,https://www.livescience.com/41747-best-solar-panels.html,"""The Best Solar Panels for Homes""",external,403
https://weziwezi.com/مبدأ_عمل_البطارية_الكهروكيميائية,https://www.sciencedirect.com/topics/engineering/galvanic-cell,"""Galvanic Cell""",external,403
https://weziwezi.com/نص_قانون_فاراداي,https://www.livescience.com/53509-faradays-law-induction.html,"""farady's law""",external,403
https://weziwezi.com/ما_هي_ظاهرة_القمر_العملاق,https://www.universetoday.com/1999/explaining-the-moon-illusion/,"""Explaining the Moon Illusion""",external,503
https://weziwezi.com/قانون_فاراداي_للحث_الكهرومغناطيسي,https://www.livescience.com/53509-faradays-law-induction.html,"""What Is Faraday’s Law of Induction?""",external,403
https://weziwezi.com/تعريف_التدفق_المغناطيسي,https://www.livescience.com/38059-magnetism.html,"""What Is Magnetism? | Magnetic Fields & Magnetic Force""",external,403
https://weziwezi.com/عوامل_التجوية,https://www.coursehero.com/file/p5m9ie6/WEATHERING-FACTORS-THAT-AFFECTS-WEATHERING-Rock-structure-rate-of-weathering-is/,"""Weathering factors that affects weathering rock""",external,403
https://weziwezi.com/استخدامات_التحليل_الكهربائي,https://www.livescience.com/47571-electrical-engineering.html,"""What Is Electrical Engineering?""",external,403
https://weziwezi.com/عوامل_تفتيت_الصخور,https://www.quora.com/search?q=weathering,"""weathering""",external,429
https://weziwezi.com/الفرق_بين_الطيات_والصدوع,https://www.livescience.com/37052-types-of-faults.html,"""Fault Lines: Facts About Cracks in the Earth""",external,403
